adresses;latitude;longitude
Hay el Fath, rabat;33.833427400000005;-7.054799783136916
Hay Al Farah, rabat;;
Mabella, rabat;33.9957769;-6.8194986
Aakkari, rabat;34.0055425;-6.8575401
Quartier de l'Océan, rabat;;
Riyad Extension, rabat;;
Souissi, rabat;33.9688418;-6.8348164
Hassan, rabat;34.02236;-6.8340222
Les Orangers, rabat;34.0180305;-6.838907975955856
Riyad, rabat;33.9516076;-6.8837296
Diour Jamaa, rabat;34.0135783;-6.8467905980154065
Aviation - Mabella, rabat;;
Médina de Rabat, rabat;34.020432650000004;-6.847852404268214
El Youssoufia, rabat;33.9845243;-6.8203304
Al Irfane, rabat;33.9816535;-6.8646296
Massira, rabat;33.972260899999995;-6.888729319866213
Hay Arrachad, rabat;;
Aviation, rabat;34.0439163;-6.7744461
Abi Ragrag, rabat;;
Les Oudayas, rabat;;
Douar Laarab, rabat;;
M'nar, rabat;;
M'Hamid, rabat;34.0600048;-6.7857132
Toute la ville, rabat;;
Sidi Abdellah Ghiat, rabat;;
Route de Fès, rabat;;
Tilila, rabat;;
Cité Adrar, rabat;;
Hay Salam, rabat;34.0349806;-6.786274890586542
Ancienne Médina, rabat;32.2931659;-9.2406053
Tanja Balia, rabat;;
Route d'Ourika, rabat;;
Route de Marrakech, rabat;;
Lahrarta, rabat;;
Plage rose marae, rabat;;
Route de Ouarzazate, rabat;;
Al Boustane, rabat;34.0020721;-6.8458893
Les Ambassadeurs, rabat;;
Polo, rabat;-33.2660432;-70.6514687
Oued Tensift, rabat;34.0631429;-6.7905231
Harhoura, rabat;33.914435;-6.9702597
Oued Ourika, rabat;;
Mers Sultan, rabat;;
Ville Nouvelle, rabat;33.8504085;-6.9332897
Centre, rabat;31.9302386;34.887008
Anfa, rabat;34.0702046;-6.7866069
Hay Hassani, rabat;;
Hay Charaf, marrakech;30.4361036;-9.5745047
M'Hamid, marrakech;31.5912101;-8.0477137
Mabrouka, marrakech;33.8947903;-6.3106732
Issil, marrakech;31.66107705;-8.010346812433827
Allal El Fassi, marrakech;31.657204;-8.0046364
Jemaa El Fna, marrakech;31.6258306;-7.988919740137357
