Type,transaction,ville,ville_secteur,surface_totale,surface_habitable,chambres,salle_bains,salons,pieces,etage,terrasse,balcon,parking,ascenseur,securite,climatisation,cuisine_equipee,concierge,duplex,chauffage,meuble,garage,jardin,piscine,prix
0,louer,4,"Gauthier, Casablanca",94,94,1,1,1,2,3,1,0,1,1,1,1,1,1,0,0,1,0,0,0,8500
0,louer,4,"Belvédère, Casablanca",80,80,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
0,louer,4,"Ferme Bretone, Casablanca",50,50,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,7500
0,louer,4,"Gauthier, Casablanca",44,44,1,1,1,2,6,0,0,0,1,1,1,1,1,0,0,1,0,0,0,5000
0,louer,4,"Mers Sultan, Casablanca",44,44,1,1,1,2,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,4700
0,louer,4,"Maarif, Casablanca",60,60,2,1,1,3,3,0,1,0,1,1,0,1,1,0,0,1,0,0,0,4500
0,louer,4,"Anfa, Casablanca",84,84,2,1,1,3,7,1,1,1,1,1,0,1,1,0,0,1,0,0,0,7500
0,louer,4,"Aïn Diab, Casablanca",120,120,2,2,2,4,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,12000
0,louer,4,"Gauthier, Casablanca",55,43,1,1,1,2,3,1,0,1,1,1,1,1,1,0,1,1,0,0,0,9000
0,louer,4,"Sidi Bernoussi, Casablanca",94,84,3,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700
0,louer,4,"Aïn Borja, Casablanca",90,90,2,1,1,3,3,0,1,0,1,1,0,0,0,0,0,1,0,0,0,4500
0,louer,4,"Ain Sebaa, Casablanca",62,62,2,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
0,louer,4,"Roches Noires, Casablanca",57,52,1,2,1,2,5,1,0,1,1,1,1,1,1,0,0,0,0,0,0,4800
0,louer,4,"Maarif, Casablanca",55,55,1,1,1,2,3,0,1,0,1,1,0,0,1,0,1,0,0,0,0,3700
0,louer,4,"Sidi Othmane, Casablanca",66,66,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
0,louer,4,"Quartier des Hôpitaux, Casablanca",200,136,3,2,2,5,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,8500
0,louer,4,"Les Princesses, Casablanca",50,48,1,1,1,2,4,0,1,1,1,1,1,1,0,0,1,0,0,0,0,6000
0,louer,4,"Casablanca Finance City, Casablanca",96,90,2,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,8000
0,louer,4,"Maarif, Casablanca",80,78,2,1,1,3,2,0,1,1,1,0,0,1,1,0,0,1,0,0,0,6500
0,louer,4,"Les Princesses, Casablanca",94,90,2,2,1,3,4,0,0,1,1,1,1,1,1,0,1,0,0,0,0,7000
0,louer,4,"Les Princesses, Casablanca",60,58,1,1,1,2,4,0,0,1,1,1,1,1,1,0,1,1,0,0,0,6500
0,louer,4,"Ferme Bretone, Casablanca",142,137,3,3,1,4,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,12000
0,louer,4,"Maarif, Casablanca",130,130,2,2,2,4,4,1,0,1,1,1,0,1,1,0,1,1,0,0,0,9500
0,louer,4,"Quartier des Hôpitaux, Casablanca",56,56,1,1,1,2,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,7000
0,louer,4,"Palmier, Casablanca",140,140,3,2,2,5,4,0,0,1,1,1,0,0,1,0,1,0,0,0,0,8500
0,louer,4,"Gauthier, Casablanca",100,100,2,2,1,3,5,0,1,0,1,0,0,1,0,0,0,1,0,0,0,6700
0,louer,4,"Casablanca Finance City, Casablanca",68,60,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,10000
0,louer,4,"Hay Moulay Rachid 4, Casablanca",50,50,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000
